Name,Description,Purchase Price,Sell Price,Defense Power,Magic Defense Power,Speed,Gender
Arcane Boots,"Boots infused with raw arcane power.",950,475,27,40,0,Unisex
Ethereal Boots,"Boots existing between realms, difficult to perceive.",1000,500,32,43,0,Unisex
Astral Boots,"Boots that draw power from the stars.",1100,550,37,47,0,Unisex
Cosmic Boots,"Boots of the cosmos, vast and powerful.",1700,850,65,55,0,Unisex
Nebula Boots,"Boots shimmering with cosmic dust.",1500,750,55,50,0,Unisex
Galactic Boots,"Boots from beyond the galaxy.",1600,800,60,53,0,Unisex
Runic Boots,"Boots inscribed with ancient runes.",850,425,32,25,0,Unisex
Glyph Boots,"Boots adorned with powerful magical symbols.",900,450,35,27,0,Unisex
Sigil Boots,"Boots bearing potent magical sigils.",950,475,37,29,0,Unisex
Cabal Boots,"Boots of a secret magical society.",1000,500,39,32,0,Unisex
Cultist Boots,"Boots worn by a dark cult.",650,325,25,22,0,Male
Heretic Boots,"Boots of those who defy dogma.",750,375,27,25,0,Female
Apostate Boots,"Boots of one who has renounced their faith.",800,400,29,27,0,Male
Rebel Boots,"Boots of resistance fighters.",550,275,22,13,6,Unisex
Outlaw Boots,"Boots for those living outside the law.",500,250,19,10,4,Unisex
Bandit Boots,"Boots favored by brigands.",370,185,14,7,0,Unisex
Thief Boots,"Light boots for stealthy operatives.",280,140,8,6,12,Unisex
Rogue Boots,"Boots for cunning and agile adventurers.",370,185,12,9,10,Unisex
Assassin Boots,"Boots designed for silent kills.",550,275,18,16,18,Unisex
Executioner Boots,"Heavy boots for those who carry out sentences.",750,375,32,9,0,Male
Torturer Boots,"Boots of those who inflict pain.",700,350,27,7,0,Male
Slayer Boots,"Boots of a monster hunter.",850,425,35,18,0,Unisex
Vanquisher Boots,"Boots of one who utterly defeats their foes.",1000,500,40,22,0,Male
Conqueror Boots,"Boots of a victorious leader.",1100,550,45,25,0,Male
Tyrant Boots,"Boots of an oppressive ruler.",950,475,39,13,0,Male
Despot Boots,"Boots of an absolute ruler.",1000,500,42,16,0,Male
Overlord Boots,"Boots of a supreme master.",1200,600,50,27,0,Male
Warlord Boots,"Boots of a powerful military leader.",1300,650,53,29,0,Male
Chieftain Boots,"Boots of a tribal leader.",550,275,25,7,0,Male
Shaman Boots,"Boots of a spiritual guide.",500,250,16,22,0,Female
Oracle Boots,"Boots that enhance prophetic visions.",650,325,18,27,0,Female
Seer Boots,"Boots that reveal hidden truths.",600,300,16,25,0,Female
Prophet Boots,"Boots of a divine messenger.",750,375,22,32,0,Male
Sage Boots,"Boots of profound wisdom.",850,425,25,37,0,Unisex
Scholar Boots,"Boots worn by academic scholars.",280,140,7,13,0,Unisex
Librarian Boots,"Boots for diligent keepers of knowledge.",320,160,9,16,0,Unisex
Historian Boots,"Boots for those who study the past.",370,185,11,18,0,Unisex
Archivist Boots,"Boots for protectors of ancient records.",420,210,13,20,0,Unisex
Artisan Boots,"Boots worn by skilled craftspeople.",230,115,6,4,0,Unisex
Engineer Boots,"Boots of mechanical innovators.",450,225,18,9,0,Unisex
Inventor Boots,"Boots for creative minds.",500,250,20,10,0,Unisex
Alchemist Boots,"Boots for those who transmute elements.",550,275,22,18,0,Unisex
Chemist Boots,"Boots for scientific experimenters.",530,265,18,16,0,Unisex
Botanist Boots,"Boots for plant specialists.",370,185,13,13,0,Unisex
Zoologist Boots,"Boots for animal researchers.",390,195,14,14,0,Unisex
Geologist Boots,"Boots for earth scientists.",420,210,16,9,0,Unisex
Astronomer Boots,"Boots for star gazers.",450,225,13,22,0,Unisex
Philosopher Boots,"Boots for deep thinkers.",550,275,18,18,0,Unisex
Diplomat Boots,"Boots for negotiators and envoys.",280,140,9,9,0,Unisex
Mediator Boots,"Boots for resolving conflicts.",300,150,10,10,0,Unisex
Emissary Boots,"Boots for special representatives.",350,175,12,12,0,Unisex
Ambassador Boots,"Boots for high-ranking envoys.",420,210,14,14,0,Unisex
Senator Boots,"Boots of a governmental official.",450,225,18,9,0,Unisex
Magistrate Boots,"Boots of a civil officer.",500,250,20,10,0,Unisex
Judge Boots,"Boots of a judicial authority.",550,275,22,13,0,Unisex
Sheriff Boots,"Boots of a law enforcer.",370,185,16,7,0,Male
Marshal Boots,"Boots of a high-ranking law officer.",420,210,18,9,0,Male
Investigator Boots,"Boots for detectives.",320,160,11,11,0,Unisex
Analyst Boots,"Boots for data examination.",350,175,12,12,0,Unisex
Forensic Boots,"Boots for crime scene analysis.",390,195,13,13,0,Unisex
Tactician Boots,"Boots for strategic thinkers.",450,225,18,13,0,Male
Strategist Boots,"Boots for grand scale planning.",500,250,20,16,0,Male
Logistics Boots,"Boots for supply management.",370,185,13,9,0,Unisex
Recruiter Boots,"Boots for enlisting new members.",280,140,9,7,0,Unisex
Trainer Boots,"Boots for skill development.",300,150,10,8,0,Unisex
Mentor Boots,"Boots for guiding others.",350,175,12,10,0,Unisex
Instructor Boots,"Boots for teaching new techniques.",390,195,13,11,0,Unisex
Coach Boots,"Boots for athletic guidance.",320,160,11,9,0,Unisex
Prospector Boots,"Boots for mineral seekers.",230,115,7,3,0,Unisex
Miner Boots,"Boots for underground excavation.",280,140,9,4,0,Unisex
Quarryman Boots,"Boots for stone extraction.",300,150,10,5,0,Unisex
Excavator Boots,"Boots for deep digging.",320,160,11,6,0,Unisex
Delver Boots,"Boots for exploring subterranean depths.",350,175,12,7,0,Unisex
Speleologist Boots,"Boots for cave explorers.",370,185,13,8,0,Unisex
Cavern Boots,"Boots for damp cave environments.",390,195,14,9,0,Unisex
Grotto Boots,"Boots for small cave systems.",370,185,13,8,0,Unisex
Subterranean Boots,"Boots for underground travel.",420,210,15,10,0,Unisex
Underdark Boots,"Boots for the deep and dangerous underground.",950,475,37,18,0,Unisex
Abyssal Boots,"Boots from the deepest chasms.",1100,550,43,22,0,Unisex
Infernal Boots,"Boots forged in the fires of hell.",1200,600,47,25,0,Male
Demonic Boots,"Boots infused with the essence of demons.",1300,650,50,27,0,Male
Fallen Boots,"Boots of a corrupted warrior.",950,475,37,18,0,Male
Corrupted Boots,"Boots twisted by dark forces.",1000,500,40,20,0,Unisex
Blighted Boots,"Boots afflicted by a terrible curse.",850,425,32,16,0,Unisex
Plagued Boots,"Boots spreading disease and decay.",800,400,29,14,0,Unisex
Necrotic Boots,"Boots linked to death magic.",1100,550,43,27,0,Male
Revenant Boots,"Boots of one returned from the grave.",1000,500,39,22,0,Male
Phantom Boots,"Boots of an elusive spirit.",950,475,27,35,0,Unisex
Shade Boots,"Boots of a shadowy entity.",900,450,25,32,0,Unisex
Wraith Boots,"Boots of a malevolent specter.",1000,500,29,40,0,Unisex
Banshee Boots,"Boots that emit a mournful wail.",750,375,22,27,0,Female
Succubus Boots,"Boots of a seductive demon.",850,425,25,29,0,Female
Incubus Boots,"Boots of a charming demon.",850,425,25,29,0,Male
Siren Boots,"Boots that lure sailors to their doom.",650,325,18,25,0,Female
Dryad Boots,"Boots made from living wood, attuned to forests.",550,275,18,18,0,Female
Nymph Boots,"Boots of a beautiful nature spirit.",600,300,20,22,0,Female
Sylph Boots,"Light boots of an air spirit.",450,225,13,18,12,Female
Undine Boots,"Boots of a water spirit.",500,250,16,20,0,Female
Salamander Boots,"Boots of a fire spirit.",650,325,22,16,0,Unisex
Gnome Boots,"Small but sturdy boots, crafted by gnomes.",180,90,7,3,0,Unisex
Pixie Boots,"Tiny and almost weightless boots.",130,65,4,9,18,Female
Fairy Boots,"Delicate and enchanting boots.",160,80,5,10,15,Female
Sprite Boots,"Nimble boots of a playful spirit.",150,75,5,9,16,Female
Leprechaun Boots,"Boots that bring good fortune.",230,115,8,7,0,Male
Goblinoid Boots,"Boots favored by various goblinoid races.",90,45,3,1,0,Unisex
Kobold Boots,"Crude boots of kobolds.",80,40,2,1,0,Unisex
Gnoll Boots,"Rough boots of hyena folk.",100,50,4,1,0,Male
Bugbear Boots,"Heavy boots of bugbears.",160,80,7,2,0,Male
Ogre Mage Boots,"Boots of a powerful ogre mage.",750,375,32,22,0,Male
Troll Boots,"Boots with regenerative properties.",650,325,27,13,0,Male
Beast Boots,"Boots made from monstrous beast hides.",550,275,25,9,0,Unisex
Hunter Killer Boots,"Boots designed for tracking and eliminating targets.",850,425,32,18,0,Male
Executioner Boots,"Boots for swift and brutal justice.",800,400,35,13,0,Male
Punisher Boots,"Boots of relentless retribution.",900,450,37,16,0,Male
Avenger Boots,"Boots of righteous vengeance.",950,475,39,18,0,Male
Redeemer Boots,"Boots that bring salvation.",1000,500,42,22,0,Male
Vindicator Boots,"Boots of justified defense.",1100,550,45,25,0,Male
Glory Boots,"Boots signifying great honor and fame.",1200,600,47,27,0,Unisex
Valor Boots,"Boots embodying courage and bravery.",1300,650,50,29,0,Unisex
Chivalry Boots,"Boots upholding the ideals of knighthood.",1100,550,45,22,0,Male
Honor Boots,"Boots symbolizing integrity.",1000,500,42,20,0,Unisex
Justice Boots,"Boots of unwavering fairness.",950,475,37,18,0,Unisex
Righteous Boots,"Boots of moral rectitude.",900,450,35,16,0,Unisex
Virtue Boots,"Boots representing moral excellence.",850,425,32,14,0,Unisex
Purity Boots,"Boots of untainted essence.",800,400,29,13,0,Female
Innocence Boots,"Boots of a pure heart.",750,375,27,12,0,Female
Hope Boots,"Boots that inspire optimism.",700,350,25,10,0,Unisex
Faith Boots,"Boots of unwavering belief.",650,325,22,9,0,Unisex
Charity Boots,"Boots that embody benevolence.",600,300,20,7,0,Female
Courage Boots,"Boots that instill bravery.",550,275,18,5,0,Unisex
Wisdom Boots,"Boots of profound insight.",500,250,16,22,0,Unisex
Knowledge Boots,"Boots that hold vast information.",450,225,14,19,0,Unisex
Truth Boots,"Boots that reveal falsehoods.",420,210,12,17,0,Unisex
Discipline Boots,"Boots that promote self-control.",370,185,10,16,0,Unisex
Patience Boots,"Boots that foster endurance.",320,160,9,14,0,Unisex
Perseverance Boots,"Boots that encourage persistence.",280,140,7,12,0,Unisex
