Name,Purchase Price,Sell Price,Defensive Power,Magic Defensive Power,Applicable Gender,Req. Def. Power,Req. Magic Def. Power,Examine String
Crystal Bloom Tiara (F),8700,4350,68,138,Female,40,82,"A tiara blooming with crystal flowers, offering strong magic defense."
Phantom Veil (F),9400,4700,72,148,Female,43,88,"A veil that appears and disappears, providing elusive magical protection."
Empress Crown (F),10200,5100,78,158,Female,46,94,"A majestic crown fit for an empress, offering supreme magical defense."
Serenity Circlet (F),10900,5450,82,168,Female,49,100,"A circlet that instills serenity, providing complete magical resistance."
Moonlit Veil (F),11600,5800,88,178,Female,52,106,"A veil kissed by moonlight, offering profound magical protection."
Divine Oracle Tiara (F),12300,6150,92,188,Female,55,112,"A tiara blessed by divine oracles, providing exceptional magical defense."
Whisperwind Hood (F),13000,6500,98,198,Female,58,118,"A hood that captures the whisper of winds, offering subtle yet strong defense."
Starlight Weaver (F),13700,6850,102,208,Female,61,124,"A helm woven from starlight, providing an ethereal yet robust defense."
Celestial Grace Helm (F),14400,7200,108,218,Female,64,130,"A helm radiating celestial grace, offering divine magical resistance."
Dreamcatcher Circlet (F),15100,7550,112,228,Female,67,136,"A circlet that captures nightmares, providing unparalleled magic defense."
Spirit Blossom Veil (F),15800,7900,118,238,Female,70,142,"A veil blooming with spirit energy, offering profound spiritual protection."
Enchanted Empress Crown (F),16500,8250,122,248,Female,73,148,"An ancient, powerful crown worn by legendary empresses."
Lunar Priestess Hood (F),17200,8600,128,258,Female,76,154,"A hood of a lunar priestess, channeling the moon's magical power."
Sunstone Weaver Tiara (F),17900,8950,132,268,Female,79,160,"A tiara woven with sunstones, offering brilliant magical resistance."
Shadow Bloom Veil (F),18600,9300,138,278,Female,82,166,"A veil blooming in shadows, providing potent magical protection."
Goddess's Favor Helm (F),19300,9650,142,288,Female,85,172,"A helm bestowed by a goddess, granting ultimate magical defense."
Cosmic Dreamer Circlet (F),20000,10000,148,298,Female,88,178,"A circlet that taps into cosmic dreams, offering boundless protection."
Soul Siren Tiara (F),20700,10350,152,308,Female,91,184,"A tiara resonating with siren songs, offering enchanting defense."
Starlight Oracle Hood (F),21400,10700,158,318,Female,94,190,"A hood worn by starlight oracles, offering supreme magical insights."
Celestial Seraph Helm (F),22100,11050,162,328,Female,97,196,"A helm from the celestial seraphim, offering divine protection."
Mystic Spirit Crown (F),22800,11400,168,338,Female,100,202,"A crown that channels mystic spirits, providing incredible defense."
Radiant Empress Tiara (F),23500,11750,172,348,Female,103,208,"A tiara of a radiant empress, shining with immense protective power."
Lunar Shadow Hood (F),24200,12100,178,358,Female,106,214,"A hood that draws power from lunar shadows, offering deep magical defense."
Divine Blossom Helm (F),24900,12450,182,368,Female,109,220,"A helm blooming with divine energy, providing profound protection."
Aetherial Dream Tiara (F),25600,12800,188,378,Female,112,226,"A tiara that weaves aetherial dreams, offering boundless magical defense."
Empress's Whisper (F),26300,13150,192,388,Female,115,232,"A helm that echoes an empress's whisper, granting subtle but immense power."
Starweaver Crown (F),27000,13500,198,398,Female,118,238,"A crown that weaves the fabric of starlight, offering supreme defense."
Celestial Oracle Helm (F),27700,13850,202,408,Female,121,244,"A helm of the celestial oracle, providing divine insights and protection."
Dream Weaver's Visage (F),28400,14200,208,418,Female,124,250,"A visage that embodies dreams, offering unparalleled magical defense."
Lunar Seraphim Tiara (F),29100,14550,212,428,Female,127,256,"A tiara worn by lunar seraphim, radiating heavenly protection."
Soul Seeker Helm (F),29800,14900,218,438,Female,130,262,"A helm that seeks out souls, offering formidable magical defense."
Radiant Spirit Hood (F),30500,15250,222,448,Female,133,268,"A hood shimmering with radiant spirits, providing immense magical protection."
Empress of Light Crown (F),31200,15600,228,458,Female,136,274,"The crown of the Empress of Light, embodying pure defensive power."
Void Weaver's Tiara (F),31900,15950,232,468,Female,139,280,"A tiara that weaves the void, offering ultimate magical resilience."
Star Blossom Helm (F),32600,16300,238,478,Female,142,286,"A helm blossoming with starlight, offering celestial protection."
Cosmic Echo Helm (F),33300,16650,242,488,Female,145,292,"A helm that echoes cosmic energies, providing profound magical defense."
Divine Seer Crown (F),34000,17000,248,498,Female,148,298,"A crown of the divine seer, granting ultimate magical insights and defense."
Moonstone Empress Helm (F),34700,17350,252,508,Female,151,304,"A helm crafted from moonstone, providing incredible lunar protection."
Spectral Enchantress Hood (F),35400,17700,258,518,Female,154,310,"A hood of spectral enchantresses, offering powerful ghostly defense."
Celestial Dream Weaver (F),36100,18050,262,528,Female,157,316,"A helm that weaves celestial dreams, offering unparalleled protection."
Empress of the Stars (F),36800,18400,268,538,Female,160,322,"The crown of the Empress of the Stars, embodying cosmic power."
Absolute Oracle Tiara (F),37500,18750,272,548,Female,163,328,"An absolute tiara of foresight, providing ultimate magical defense."
Soul Blossom Crown (F),38200,19100,278,558,Female,166,334,"A crown blooming with pure soul energy, offering profound spiritual defense."
Eternal Seraph Helm (F),38900,19450,282,568,Female,169,340,"A helm of eternal seraphim, radiating unending divine protection."
Divine Wisdom Crown (F),39600,19800,288,578,Female,172,346,"A crown overflowing with divine wisdom, granting ultimate insights and defense."
Cosmic Queen Helm (F),40300,20150,292,588,Female,175,352,"A helm fit for a queen of the cosmos, embodying universal power."
Empress of Creation (F),41000,20500,298,598,Female,178,358,"The crown of the Empress of Creation, manifesting raw defensive power."
Starfire Weaver Helm (F),41700,20850,302,608,Female,181,364,"A helm woven from starfire, offering blazing magical protection."
Soulbound Oracle Helm (F),42400,21200,308,618,Female,184,370,"A helm bound to the oracle's soul, sharing its profound wisdom and defense."
Infinity Crown (F),43100,21550,312,628,Female,187,376,"A crown representing infinity, offering boundless magical resilience."
Legendary Seer Helm (F),43800,21900,318,638,Female,190,382,"A helm worn by legendary seers, granting ultimate magical insights."
Divine Genesis Crown (F),44500,22250,322,648,Female,193,388,"A crown from divine genesis, embodying the very essence of creation."
Cosmic Origin Helm (F),45200,22600,328,658,Female,196,394,"A helm from the cosmic origin, offering foundational magical defense."
Ultimate Empress Helm (F),45900,22950,332,668,Female,199,400,"The ultimate helm for an empress, providing unparalleled protection."
Absolute Goddess Helm (F),46600,23300,338,678,Female,202,406,"A helm befitting an absolute goddess, radiating supreme divine power."
